section,dataset,dimension,slice,count,ratio,model,metric,value,extra
global_metrics,charades,,,3158,,CPL,"R@1,IoU=0.3",0.6605446485117162,
global_metrics,charades,,,3158,,CPL,"R@1,IoU=0.5",0.47783407219759344,
global_metrics,charades,,,3158,,CPL,"R@1,IoU=0.7",0.22767574414186192,
global_metrics,charades,,,3158,,CPL,mIoU,0.43187539262504554,
global_metrics,charades,,,3158,,CPL_MoE,"R@1,IoU=0.3",0.643445218492717,
global_metrics,charades,,,3158,,CPL_MoE,"R@1,IoU=0.5",0.46200126662444585,
global_metrics,charades,,,3158,,CPL_MoE,"R@1,IoU=0.7",0.21374287523749208,
global_metrics,charades,,,3158,,CPL_MoE,mIoU,0.4167202704907649,
global_metrics,charades,,,3158,,CPL_DMVS,"R@1,IoU=0.3",0.37777074097530083,
global_metrics,charades,,,3158,,CPL_DMVS,"R@1,IoU=0.5",0.2447751741608613,
global_metrics,charades,,,3158,,CPL_DMVS,"R@1,IoU=0.7",0.10037998733375554,
global_metrics,charades,,,3158,,CPL_DMVS,mIoU,0.24861733532789285,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,"R@1,IoU=0.3",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,"R@1,IoU=0.5",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,"R@1,IoU=0.7",0.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,mIoU,0.5297239465104551,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,"R@5,mIoU",0.9261126235479445,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,"R@5,IoU=0.3",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,"R@5,IoU=0.5",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL,"R@5,IoU=0.7",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL_MoE,"R@1,IoU=0.3",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL_MoE,"R@1,IoU=0.5",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL_MoE,"R@1,IoU=0.7",1.0,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL_MoE,mIoU,0.8946855067033468,
slice_metrics,charades,query_length_bucket,long(11-15),1,0.00031665611146295124,CPL_MoE,"R@5,mIoU",0.8946855067033468,
